,restaurant,item,calories,protein,total_fat,total_carb,recipe_name,recipe_calories,recipe_protein,recipe_fat,recipe_carb,recipe_image
0,Burger King,Jalapeno King Sandwich,990,55.0,65,46,Coulibiac Of Salmon,958.0,29.0,58.0,71.0,https://spoonacular.com/recipeImages/640190-312x231.jpg
1,Subway,Footlong Turkey Italiano Melt (with Provolone),980,48.0,48,94,Ginger-Garlic and Lime Chicken Thighs with Escarole Salad,938.0,52.0,74.0,11.0,https://spoonacular.com/recipeImages/1095827-312x231.jpg
2,Arbys,Ultimate BLT,980,43.0,55,80,Creamy zucchini and ham pasta,1001.0,33.0,60.0,77.0,https://spoonacular.com/recipeImages/668492-312x231.jpg
3,Sonic,3 Piece Super Crunch Chicken Strip Dinner,970,30.0,46,109,Light and Tasty Tomato Basil Mozzarella Pasta for a Hot Summer Evening,954.0,33.0,41.0,107.0,https://spoonacular.com/recipeImages/1697625-312x231.jpg
4,Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,58.0,40,94,Extra Large Homemade Meatballs w Pasta,933.0,53.0,58.0,43.0,https://spoonacular.com/recipeImages/642502-312x231.jpg
5,Taco Bell,XXL Grilled Stuft Burrito - Beef,880,31.0,42,94,Rustic Red Wine Spaghetti,855.0,35.0,40.0,87.0,https://spoonacular.com/recipeImages/452116-312x231.jpg
6,Burger King,DOUBLE WHOPPER w/ Cheese,990,52.0,65,53,Mixed Mushroom Sauce Over Tagliatelle Pasta,941.0,19.0,56.0,87.0,https://spoonacular.com/recipeImages/652130-312x231.jpg
7,Subway,Footlong Meatball Marinara,960,42.0,36,118,Korean Extra Crispy Fried Chicken,991.0,57.0,56.0,59.0,https://spoonacular.com/recipeImages/649048-312x231.jpg
8,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,46.0,45,81,Bacon Brownie Cupcakes,913.0,31.0,72.0,39.0,https://spoonacular.com/recipeImages/633293-312x231.jpg
9,Sonic,Sonic Bacon Cheeseburger (w/mayo),870,39.0,59,45,Lamb Moussaka,828.0,78.0,45.0,18.0,https://spoonacular.com/recipeImages/649225-312x231.jpg
10,Arbys,Pecan Chicken Salad Sandwich,840,33.0,44,81,Easy Eclairs,817.0,20.0,50.0,71.0,https://spoonacular.com/recipeImages/641955-312x231.jpg
11,Taco Bell,XXL Grilled Stuft Burrito - Chicken,830,37.0,35,91,Easy Eclairs,817.0,20.0,50.0,71.0,https://spoonacular.com/recipeImages/641955-312x231.jpg
12,Burger King,Sourdough King Double,970,55.0,61,52,Entrecote Steak with Asparagus,944.0,42.0,79.0,13.0,https://spoonacular.com/recipeImages/471242-312x231.jpg
13,Subway,Footlong Spicy Italian,960,40.0,48,92,Extra Large Homemade Meatballs w Pasta,933.0,53.0,58.0,43.0,https://spoonacular.com/recipeImages/642502-312x231.jpg
14,Mcdonalds,20 Piece Chicken McNuggets,890,49.0,53,53,Chicken Meatball Marsala over Creamy Polenta,925.0,45.0,38.0,82.0,https://spoonacular.com/recipeImages/638186-312x231.jpg
15,Sonic,Footlong Quarter Pound Coney,830,30.0,54,54,Chicken Satay,834.0,31.0,73.0,15.0,https://spoonacular.com/recipeImages/638308-312x231.jpg
16,Taco Bell,XXL Grilled Stuft Burrito - Steak,820,33.0,36,91,Baked Chicken In Avocado Boat - Featured In Group,841.0,51.0,29.0,15.0,https://spoonacular.com/recipeImages/633521-312x231.jpg
